HouseholdID,Timestamp,Volume_m3,AmbientCO_ppm_Est,HourOfDay,MinuteOfHour,IsCooking,TimeSinceCookStart_min,StoveType_ICS,StoveType_TCS,CO_ppm_Lag1,CO_ppm_Lag2,CO_ppm_Lag5,CO_ppm_Lag10,CO_ppm
5,2018-12-15 18:54:00,8.0,1.0,18,54,0,78.0,0,1,1.5,2.0,7.7,7.0,1.0
5,2018-12-15 18:55:00,8.0,1.0,18,55,0,79.0,0,1,1.0,1.5,4.5,7.4,0.8
5,2018-12-15 18:56:00,8.0,1.0,18,56,0,80.0,0,1,0.8,1.0,3.0,7.8,0.7
5,2018-12-15 18:57:00,8.0,1.0,18,57,0,81.0,0,1,0.7,0.8,2.0,8.3,0.7
5,2018-12-15 18:58:00,8.0,1.0,18,58,0,82.0,0,1,0.7,0.7,1.5,9.0,0.7
5,2018-12-15 18:59:00,8.0,1.0,18,59,0,83.0,0,1,0.7,0.7,1.0,7.7,0.8
5,2018-12-15 19:00:00,8.0,1.0,19,0,0,84.0,0,1,0.8,0.7,0.8,4.5,0.7
5,2018-12-15 19:01:00,8.0,1.0,19,1,0,85.0,0,1,0.7,0.8,0.7,3.0,0.8
5,2018-12-15 19:02:00,8.0,1.0,19,2,0,86.0,0,1,0.8,0.7,0.7,2.0,0.8
5,2018-12-15 19:03:00,8.0,1.0,19,3,0,87.0,0,1,0.8,0.8,0.7,1.5,0.9
5,2018-12-15 19:04:00,8.0,1.0,19,4,0,88.0,0,1,0.9,0.8,0.8,1.0,0.9
5,2018-12-15 19:05:00,8.0,1.0,19,5,0,89.0,0,1,0.9,0.9,0.7,0.8,1.0
5,2018-12-15 19:06:00,8.0,1.0,19,6,0,90.0,0,1,1.0,0.9,0.8,0.7,1.0
5,2018-12-15 19:07:00,8.0,1.0,19,7,0,91.0,0,1,1.0,1.0,0.8,0.7,0.9
5,2018-12-15 19:08:00,8.0,1.0,19,8,0,92.0,0,1,0.9,1.0,0.9,0.7,0.9
5,2018-12-15 19:09:00,8.0,1.0,19,9,0,93.0,0,1,0.9,0.9,0.9,0.8,0.9
5,2018-12-15 19:10:00,8.0,1.0,19,10,0,94.0,0,1,0.9,0.9,1.0,0.7,0.9
6,2018-12-15 16:57:00,8.0,0.8,16,57,0,0.0,0,1,0.6,0.7,0.8,1.6,0.6
6,2018-12-15 16:58:00,8.0,0.8,16,58,0,0.0,0,1,0.6,0.6,0.8,1.5,0.6
6,2018-12-15 16:59:00,8.0,0.8,16,59,0,0.0,0,1,0.6,0.6,0.8,1.1,0.6
6,2018-12-15 17:00:00,8.0,0.8,17,0,0,0.0,0,1,0.6,0.6,0.7,0.9,0.6
6,2018-12-15 17:01:00,8.0,0.8,17,1,0,0.0,0,1,0.6,0.6,0.6,0.9,0.6
6,2018-12-15 17:02:00,8.0,0.8,17,2,0,0.0,0,1,0.6,0.6,0.6,0.8,0.6
6,2018-12-15 17:03:00,8.0,0.8,17,3,0,0.0,0,1,0.6,0.6,0.6,0.8,0.6
6,2018-12-15 17:04:00,8.0,0.8,17,4,0,0.0,0,1,0.6,0.6,0.6,0.8,0.6
6,2018-12-15 17:05:00,8.0,0.8,17,5,0,0.0,0,1,0.6,0.6,0.6,0.7,0.6
6,2018-12-15 17:06:00,8.0,0.8,17,6,0,0.0,0,1,0.6,0.6,0.6,0.6,0.6
6,2018-12-15 17:07:00,8.0,0.8,17,7,0,0.0,0,1,0.6,0.6,0.6,0.6,0.6
6,2018-12-15 17:08:00,8.0,0.8,17,8,0,0.0,0,1,0.6,0.6,0.6,0.6,0.6
6,2018-12-15 17:09:00,8.0,0.8,17,9,0,0.0,0,1,0.6,0.6,0.6,0.6,0.6
6,2018-12-15 17:10:00,8.0,0.8,17,10,0,0.0,0,1,0.6,0.6,0.6,0.6,0.6
6,2018-12-15 17:11:00,8.0,0.8,17,11,0,0.0,0,1,0.6,0.6,0.6,0.6,0.6
6,2018-12-15 17:12:00,8.0,0.8,17,12,0,0.0,0,1,0.6,0.6,0.6,0.6,0.6
6,2018-12-15 17:13:00,8.0,0.8,17,13,0,0.0,0,1,0.6,0.6,0.6,0.6,0.6
6,2018-12-15 17:14:00,8.0,0.8,17,14,0,0.0,0,1,0.6,0.6,0.6,0.6,0.6
6,2018-12-15 17:15:00,8.0,0.8,17,15,0,0.0,0,1,0.6,0.6,0.6,0.6,0.6
6,2018-12-15 17:16:00,8.0,0.8,17,16,0,0.0,0,1,0.6,0.6,0.6,0.6,0.5
6,2018-12-15 17:17:00,8.0,0.8,17,17,0,0.0,0,1,0.5,0.6,0.6,0.6,0.5
6,2018-12-15 17:18:00,8.0,0.8,17,18,0,0.0,0,1,0.5,0.5,0.6,0.6,0.5
6,2018-12-15 17:19:00,8.0,0.8,17,19,0,0.0,0,1,0.5,0.5,0.6,0.6,0.5
6,2018-12-15 17:20:00,8.0,0.8,17,20,0,0.0,0,1,0.5,0.5,0.6,0.6,0.5
6,2018-12-15 17:21:00,8.0,0.8,17,21,0,0.0,0,1,0.5,0.5,0.5,0.6,0.5
6,2018-12-15 17:22:00,8.0,0.8,17,22,0,0.0,0,1,0.5,0.5,0.5,0.6,0.5
6,2018-12-15 17:23:00,8.0,0.8,17,23,0,0.0,0,1,0.5,0.5,0.5,0.6,0.6
6,2018-12-15 17:24:00,8.0,0.8,17,24,0,0.0,0,1,0.6,0.5,0.5,0.6,0.5
6,2018-12-15 17:25:00,8.0,0.8,17,25,0,0.0,0,1,0.5,0.6,0.5,0.6,0.6
6,2018-12-15 17:26:00,8.0,0.8,17,26,0,0.0,0,1,0.6,0.5,0.5,0.5,0.6
6,2018-12-15 17:27:00,8.0,0.8,17,27,0,0.0,0,1,0.6,0.6,0.5,0.5,0.6
6,2018-12-15 17:28:00,8.0,0.8,17,28,0,0.0,0,1,0.6,0.6,0.6,0.5,0.6
6,2018-12-15 17:29:00,8.0,0.8,17,29,0,0.0,0,1,0.6,0.6,0.5,0.5,0.6
6,2018-12-15 17:30:00,8.0,0.8,17,30,0,0.0,0,1,0.6,0.6,0.6,0.5,0.6
6,2018-12-15 17:31:00,8.0,0.8,17,31,0,0.0,0,1,0.6,0.6,0.6,0.5,0.6
6,2018-12-15 17:32:00,8.0,0.8,17,32,0,0.0,0,1,0.6,0.6,0.6,0.5,0.6
6,2018-12-15 17:33:00,8.0,0.8,17,33,1,0.0,0,1,0.6,0.6,0.6,0.6,19.9
6,2018-12-15 17:34:00,8.0,0.8,17,34,1,1.0,0,1,19.9,0.6,0.6,0.5,63.6
6,2018-12-15 17:35:00,8.0,0.8,17,35,1,2.0,0,1,63.6,19.9,0.6,0.6,56.9
6,2018-12-15 17:36:00,8.0,0.8,17,36,1,3.0,0,1,56.9,63.6,0.6,0.6,86.9
6,2018-12-15 17:37:00,8.0,0.8,17,37,1,4.0,0,1,86.9,56.9,0.6,0.6,59.6
6,2018-12-15 17:38:00,8.0,0.8,17,38,1,5.0,0,1,59.6,86.9,19.9,0.6,41.2
